,n_rows,total_time,model,log10_total_time
0,4000.0,0.9745423793792725,TARPON,-0.011199270214526096
1,4000.0,0.9359884262084961,TARPON,-0.028729521416661262
2,4000.0,0.9881229400634766,TARPON,-0.005189018094997409
3,4000.0,1.0115485191345215,TARPON,0.004986718631321438
4,4000.0,1.0193312168121338,TARPON,0.008315324596241144
5,8000.0,1.3863658905029297,TARPON,0.14187786465927255
6,8000.0,1.3928282260894775,TARPON,0.14389755930879697
7,8000.0,1.4162232875823975,TARPON,0.15113173140457256
8,8000.0,1.3711822032928467,TARPON,0.13709516786539022
9,8000.0,1.393599271774292,TARPON,0.14413791072293844
10,12000.0,1.9071707725524902,TARPON,0.280389582535585
11,12000.0,1.9253664016723633,TARPON,0.28451338895229245
12,12000.0,1.9210424423217773,TARPON,0.2835369600009585
13,12000.0,1.8839447498321533,TARPON,0.2750681621538526
14,12000.0,1.8963367938995361,TARPON,0.2779154715793632
15,16000.0,2.1570136547088623,TARPON,0.3338528943588922
16,16000.0,2.1340534687042236,TARPON,0.3292052964719063
17,16000.0,2.1269302368164062,TARPON,0.32775324530350386
18,16000.0,2.1398377418518066,TARPON,0.33038084321366307
19,16000.0,2.2127082347869873,TARPON,0.34492415212169636
20,20000.0,2.3519339561462402,TARPON,0.3714251223003767
21,20000.0,2.3392229080200195,TARPON,0.3690716083463246
22,20000.0,2.326357364654541,TARPON,0.3666764299006853
23,20000.0,2.2618415355682373,TARPON,0.35446217501958416
24,20000.0,2.541533946990967,TARPON,0.40509591490136
25,4000.0,6.6,ERGOII-VDJdb,0.8195439355418687
26,4000.0,6.7,ERGOII-VDJdb,0.8260748027008264
27,4000.0,6.6,ERGOII-VDJdb,0.8195439355418687
28,4000.0,6.9,ERGOII-VDJdb,0.8388490907372553
29,4000.0,6.9,ERGOII-VDJdb,0.8388490907372553
30,8000.0,9.3,ERGOII-VDJdb,0.9684829485539351
31,8000.0,9.2,ERGOII-VDJdb,0.9637878273455552
32,8000.0,9.9,ERGOII-VDJdb,0.9956351945975499
33,8000.0,9.3,ERGOII-VDJdb,0.9684829485539351
34,8000.0,9.6,ERGOII-VDJdb,0.9822712330395684
35,12000.0,12.6,ERGOII-VDJdb,1.100370545117563
36,12000.0,12.8,ERGOII-VDJdb,1.1072099696478683
37,12000.0,12.6,ERGOII-VDJdb,1.100370545117563
38,12000.0,12.4,ERGOII-VDJdb,1.0934216851622351
39,12000.0,12.4,ERGOII-VDJdb,1.0934216851622351
40,16000.0,14.9,ERGOII-VDJdb,1.173186268412274
41,16000.0,15.3,ERGOII-VDJdb,1.1846914308175989
42,16000.0,14.4,ERGOII-VDJdb,1.1583624920952498
43,16000.0,14.6,ERGOII-VDJdb,1.1643528557844371
44,16000.0,14.7,ERGOII-VDJdb,1.167317334748176
45,20000.0,16.8,ERGOII-VDJdb,1.2253092817258628
46,20000.0,17.0,ERGOII-VDJdb,1.2304489213782739
47,20000.0,17.3,ERGOII-VDJdb,1.2380461031287955
48,20000.0,17.4,ERGOII-VDJdb,1.2405492482825997
49,20000.0,17.2,ERGOII-VDJdb,1.235528446907549
50,4000.0,6.1,ERGOII-McPAS,0.785329835010767
51,4000.0,5.9,ERGOII-McPAS,0.7708520116421442
52,4000.0,6.2,ERGOII-McPAS,0.7923916894982539
53,4000.0,5.7,ERGOII-McPAS,0.7558748556724915
54,4000.0,5.7,ERGOII-McPAS,0.7558748556724915
55,8000.0,8.6,ERGOII-McPAS,0.9344984512435677
56,8000.0,8.0,ERGOII-McPAS,0.9030899869919435
57,8000.0,8.6,ERGOII-McPAS,0.9344984512435677
58,8000.0,8.8,ERGOII-McPAS,0.9444826721501687
59,8000.0,8.2,ERGOII-McPAS,0.9138138523837167
60,12000.0,11.3,ERGOII-McPAS,1.0530784434834197
61,12000.0,11.3,ERGOII-McPAS,1.0530784434834197
62,12000.0,11.1,ERGOII-McPAS,1.0453229787866574
63,12000.0,11.8,ERGOII-McPAS,1.0718820073061255
64,12000.0,11.9,ERGOII-McPAS,1.0755469613925308
65,16000.0,13.5,ERGOII-McPAS,1.130333768495006
66,16000.0,14.5,ERGOII-McPAS,1.1613680022349748
67,16000.0,14.2,ERGOII-McPAS,1.1522883443830565
68,16000.0,14.2,ERGOII-McPAS,1.1522883443830565
69,16000.0,14.1,ERGOII-McPAS,1.14921911265538
70,20000.0,17.4,ERGOII-McPAS,1.2405492482825997
71,20000.0,17.4,ERGOII-McPAS,1.2405492482825997
72,20000.0,17.0,ERGOII-McPAS,1.2304489213782739
73,20000.0,17.3,ERGOII-McPAS,1.2380461031287955
74,20000.0,17.2,ERGOII-McPAS,1.235528446907549
75,4000.0,26.7,NetTCR2,1.4265112613645752
76,4000.0,26.7,NetTCR2,1.4265112613645752
77,4000.0,35.2,NetTCR2,1.546542663478131
78,4000.0,38.4,NetTCR2,1.5843312243675307
79,4000.0,45.6,NetTCR2,1.658964842664435
80,8000.0,61.6,NetTCR2,1.7895807121644254
81,8000.0,54.7,NetTCR2,1.737987326333431
82,8000.0,52.4,NetTCR2,1.7193312869837265
83,8000.0,60.0,NetTCR2,1.7781512503836436
84,8000.0,51.4,NetTCR2,1.7109631189952756
85,12000.0,77.4,NetTCR2,1.8887409606828927
86,12000.0,64.2,NetTCR2,1.8075350280688534
87,12000.0,101.4,NetTCR2,2.0060379549973173
88,12000.0,97.9,NetTCR2,1.990782691803138
89,12000.0,91.4,NetTCR2,1.9609461957338314
90,16000.0,125.7,NetTCR2,2.0993352776859577
91,16000.0,61.4,NetTCR2,1.7881683711411678
92,16000.0,148.3,NetTCR2,2.1711411510283822
93,16000.0,58.6,NetTCR2,1.7678976160180906
94,16000.0,126.9,NetTCR2,2.103461622094705
95,20000.0,171.1,NetTCR2,2.2332500095411003
96,20000.0,211.7,NetTCR2,2.325720858019412
97,20000.0,115.2,NetTCR2,2.061452479087193
98,20000.0,101.1,NetTCR2,2.004751155591001
99,20000.0,148.7,NetTCR2,2.172310968521954
100,4000.0,1080.0,pMTnet,3.03342375548695
101,4000.0,1076.0,pMTnet,3.0318122713303706
102,4000.0,1070.0,pMTnet,3.0293837776852097
103,4000.0,1072.0,pMTnet,3.030194785356751
104,4000.0,1066.0,pMTnet,3.0277572046905536
105,8000.0,2208.0,pMTnet,3.3439990690571615
106,8000.0,2193.0,pMTnet,3.341038631677523
107,8000.0,2169.0,pMTnet,3.336259552014193
108,8000.0,2163.0,pMTnet,3.3350565194390915
109,8000.0,2212.0,pMTnet,3.344785122632661
110,12000.0,3263.0,pMTnet,3.513617073787875
111,12000.0,3277.0,pMTnet,3.5154764413823756
112,12000.0,3244.0,pMTnet,3.5110808455391185
113,12000.0,3313.0,pMTnet,3.52022143588196
114,12000.0,3248.0,pMTnet,3.5116160205691376
115,16000.0,4513.0,pMTnet,3.654465333520146
116,16000.0,4538.0,pMTnet,3.6568644915489172
117,16000.0,4468.0,pMTnet,3.6501131644435714
118,16000.0,4516.0,pMTnet,3.6547539332529304
119,16000.0,4517.0,pMTnet,3.654850090561394
120,20000.0,5658.0,pMTnet,3.752662943120972
121,20000.0,5619.0,pMTnet,3.7496590320949
122,20000.0,5606.0,pMTnet,3.7486530934242674
123,20000.0,5574.0,pMTnet,3.7461669643772852
124,20000.0,5639.0,pMTnet,3.7512020945883533
125,4000.0,9.5,ATM-TCR,0.9777236052888477
126,4000.0,9.0,ATM-TCR,0.9542425094393249
127,4000.0,9.0,ATM-TCR,0.9542425094393249
128,4000.0,9.2,ATM-TCR,0.9637878273455552
129,4000.0,9.0,ATM-TCR,0.9542425094393249
130,8000.0,11.1,ATM-TCR,1.0453229787866574
131,8000.0,11.4,ATM-TCR,1.0569048513364727
132,8000.0,11.3,ATM-TCR,1.0530784434834197
133,8000.0,11.5,ATM-TCR,1.0606978403536118
134,8000.0,11.2,ATM-TCR,1.0492180226701815
135,12000.0,13.0,ATM-TCR,1.1139433523068367
136,12000.0,12.8,ATM-TCR,1.1072099696478683
137,12000.0,13.3,ATM-TCR,1.1238516409670858
138,12000.0,13.9,ATM-TCR,1.1430148002540952
139,12000.0,13.2,ATM-TCR,1.1205739312058498
140,16000.0,15.4,ATM-TCR,1.187520720836463
141,16000.0,15.2,ATM-TCR,1.1818435879447726
142,16000.0,15.6,ATM-TCR,1.1931245983544616
143,16000.0,15.1,ATM-TCR,1.1789769472931695
144,16000.0,15.1,ATM-TCR,1.1789769472931695
145,20000.0,16.4,ATM-TCR,1.2148438480476977
146,20000.0,16.7,ATM-TCR,1.2227164711475833
147,20000.0,17.9,ATM-TCR,1.252853030979893
148,20000.0,17.9,ATM-TCR,1.252853030979893
149,20000.0,16.9,ATM-TCR,1.2278867046136734
150,4000.0,7.2,ImRex,0.8573324964312685
151,4000.0,7.2,ImRex,0.8573324964312685
152,4000.0,7.3,ImRex,0.8633228601204559
153,4000.0,7.1,ImRex,0.8512583487190752
154,4000.0,7.3,ImRex,0.8633228601204559
155,8000.0,8.3,ImRex,0.919078092376074
156,8000.0,8.4,ImRex,0.9242792860618817
157,8000.0,8.3,ImRex,0.919078092376074
158,8000.0,8.4,ImRex,0.9242792860618817
159,8000.0,8.5,ImRex,0.9294189257142927
160,12000.0,9.7,ImRex,0.9867717342662448
161,12000.0,9.6,ImRex,0.9822712330395684
162,12000.0,9.5,ImRex,0.9777236052888477
163,12000.0,9.7,ImRex,0.9867717342662448
164,12000.0,9.9,ImRex,0.9956351945975499
165,16000.0,11.0,ImRex,1.041392685158225
166,16000.0,11.2,ImRex,1.0492180226701815
167,16000.0,11.0,ImRex,1.041392685158225
168,16000.0,10.9,ImRex,1.0374264979406236
169,16000.0,10.5,ImRex,1.021189299069938
170,20000.0,12.2,ImRex,1.0863598306747482
171,20000.0,12.1,ImRex,1.08278537031645
172,20000.0,11.7,ImRex,1.0681858617461617
173,20000.0,11.7,ImRex,1.0681858617461617
174,20000.0,12.2,ImRex,1.0863598306747482
175,4000.0,5344.0,AVIB,3.727866449467489
176,4000.0,6808.0,AVIB,3.8330195470765314
177,4000.0,4009.0,AVIB,3.6030360562505215
178,4000.0,3140.0,AVIB,3.496929648073215
179,4000.0,4455.0,AVIB,3.6488477083728936
180,8000.0,5345.0,AVIB,3.7279477095447966
181,8000.0,6808.0,AVIB,3.8330195470765314
182,8000.0,4010.0,AVIB,3.603144372620182
183,8000.0,3141.0,AVIB,3.497067936398505
184,8000.0,4455.0,AVIB,3.6488477083728936
185,12000.0,5345.0,AVIB,3.7279477095447966
186,12000.0,6809.0,AVIB,3.833083334178343
187,12000.0,4010.0,AVIB,3.603144372620182
188,12000.0,3141.0,AVIB,3.497067936398505
189,12000.0,4456.0,AVIB,3.6489451821656727
190,16000.0,5345.0,AVIB,3.7279477095447966
191,16000.0,6809.0,AVIB,3.833083334178343
192,16000.0,4010.0,AVIB,3.603144372620182
193,16000.0,3141.0,AVIB,3.497067936398505
194,16000.0,4456.0,AVIB,3.6489451821656727
195,20000.0,5346.0,AVIB,3.7280289544205183
196,20000.0,6809.0,AVIB,3.833083334178343
197,20000.0,4011.0,AVIB,3.6032526619816467
198,20000.0,3142.0,AVIB,3.4972061807039547
199,20000.0,4456.0,AVIB,3.6489451821656727
